Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 01.160.01.241.02 2017 (4342),4342,GIZARTE SEGURANTZA.LANBIDE PROGRAMAK,2017,16700.0,28141.93
1 01.160.01.323.10 2017 (4344),4344,GIZARTE SEGUR:IKASTETXEAK,2017,41584.0,36915.01
1 01.160.01.324.10 2017 (4346),4346,GIZARTE SEGUR:HLP programak,2017,28266.0,33156.02
1 01.160.01.326.01 2017 (4347),4347,GIZARTE SEGUR:MUSIKA ESKOLA,2017,134315.0,131844.75
1 01.160.01.330.00 2017 (4348),4348,GIZARTE SEGUR:KULTURA ZERBITZUA,2017,20484.0,21521.54
1 01.160.01.332.10 2017 (4349),4349,GIZARTE SEGUR:LIBURUTEGIA,2017,46033.0,33857.81
1 01.160.01.333.00 2017 (4350),4350,GIZARTE SEGUR:KULTUR ETXEA,2017,16193.0,175.86
1 01.160.01.335.00 2017 (4351),4351,GIZARTE SEGUR:EUSKARA ZERBITZUA,2017,36726.0,21817.67
1 01.160.01.335.10 2017 (4352),4352,GIZARTE SEGUR:EUSKALTEGIA,2017,84790.0,89694.1
1 01.160.01.335.30 2017 (4353),4353,GIZARTE SEGUR:EUSKARA PLANA,2017,20259.0,17402.51
1 01.160.01.335.40 2017 (4354),4354,GIZARTE SEGUR:UDALEKUAK,2017,22500.0,17354.93
1 01.160.01.342.00 2017 (4355),4355,GIZ.SEG+OLAZ:KIROLDEGIA,2017,118108.0,122731.37
1 01.160.01.342.01 2017 (4356),4356,GIZARTE SEGUR:IGERILEKUAK,2017,4652.0,558.74
1 01.160.01.414.00 2017 (4357),4357,GIZARTE SEGUR:INGURUNEAREN HOBEKUNTZA,2017,8494.0,7493.22
1 01.160.01.432.00 2017 (4358),4358,GIZARTE SEGUR:TURISMOA,2017,9444.0,9612.6
1 01.160.01.912.00 2017 (4359),4359,GIZARTE SEGUR:GOBERNU ORGANOAK,2017,74855.0,78009.11
1 01.160.01.920.00 2017 (4360),4360,GIZ.SEGURANTZA.ADMINISTRAZIO OROKORRA,2017,81356.0,81836.17
1 01.160.01.920.10 2017 (4361),4361,GIZ.SEGURANTZA.PERTSONALA,2017,84866.0,31984.1
1 01.160.01.920.11 2017 (4362),4362,GIZARTE SEGURANTZA.LAN SEGURTASUNA-OSASU,2017,11297.0,11636.16
